agent,task,HIR_mean,CFR_mean,TSR_mean,AGAR_mean,DSM_mean,HIR_std,CFR_std,TSR_std,AGAR_std,DSM_std,n_trials
Aider,django__django-10914,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Aider,django__django-10924,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Aider,django__django-11001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Aider,django__django-11039,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Aider,django__django-11049,0.333,0.0,0.667,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
Aider,django__django-11179,0.667,0.0,0.667,1.0,0.667,0.0,0.0,0.471,0.0,0.0,3
Aider,django__django-11999,0.667,0.0,0.333,0.0,0.667,0.0,0.0,0.471,0.0,0.0,3
Aider,django__django-12470,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Aider,django__django-12983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Aider,django__django-13230,0.333,0.5,0.667,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
Aider,matplotlib__matplotlib-18869,0.0,0.0,0.667,0.667,0.667,0.0,0.0,0.471,0.0,0.0,3
Aider,matplotlib__matplotlib-22711,0.333,0.0,0.667,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
Aider,matplotlib__matplotlib-22835,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Aider,matplotlib__matplotlib-23299,0.667,0.0,0.333,0.0,0.667,0.0,0.0,0.471,0.0,0.0,3
Aider,matplotlib__matplotlib-23314,1.0,0.0,0.333,0.0,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,django__django-10914,0.333,0.0,0.667,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,django__django-10924,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,django__django-11001,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,django__django-11039,0.667,0.0,0.333,0.0,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,django__django-11049,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,django__django-11179,0.333,0.0,0.333,0.0,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,django__django-11999,0.667,0.0,0.333,0.0,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,django__django-12470,0.0,0.333,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,django__django-12983,0.333,0.5,0.333,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,django__django-13230,0.667,0.0,0.333,0.0,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,issue_001,0.333,0.333,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,issue_002,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,issue_003,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,issue_004,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,issue_005,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,issue_006,0.0,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,issue_007,0.333,0.0,0.333,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,issue_008,0.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,issue_009,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,issue_010,0.333,0.5,0.333,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,issue_011,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,issue_012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,issue_013,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,issue_014,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,issue_015,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,matplotlib__matplotlib-18869,0.0,0.333,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,matplotlib__matplotlib-22711,0.667,0.0,0.667,1.0,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,matplotlib__matplotlib-22835,0.333,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
AutoCodeRover,matplotlib__matplotlib-23299,0.333,0.0,0.667,0.5,0.667,0.0,0.0,0.471,0.0,0.0,3
AutoCodeRover,matplotlib__matplotlib-23314,0.333,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Claude-Code,issue_001,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Claude-Code,issue_002,0.0,0.0,0.667,0.667,0.667,0.0,0.0,0.471,0.0,0.0,3
Claude-Code,issue_003,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
Claude-Code,issue_004,0.0,0.0,0.667,0.667,0.667,0.0,0.0,0.471,0.0,0.0,3
Claude-Code,issue_005,0.0,0.0,0.667,0.667,0.667,0.0,0.0,0.471,0.0,0.0,3
Claude-Code,issue_006,0.333,0.0,0.667,0.667,0.667,0.0,0.0,0.471,0.0,0.0,3
Claude-Code,issue_007,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Claude-Code,issue_008,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Claude-Code,issue_009,0.0,0.0,0.667,0.667,0.667,0.0,0.0,0.471,0.0,0.0,3
Claude-Code,issue_010,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Claude-Code,issue_011,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
Claude-Code,issue_012,0.0,0.0,0.667,0.667,0.667,0.0,0.0,0.471,0.0,0.0,3
Claude-Code,issue_013,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.471,0.0,0.0,3
Claude-Code,issue_014,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
Claude-Code,issue_015,0.0,0.0,0.667,0.667,0.667,0.0,0.0,0.471,0.0,0.0,3
OpenHands,issue_001,0.333,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
OpenHands,issue_002,0.0,0.0,0.667,0.667,0.667,0.0,0.0,0.471,0.0,0.0,3
